id,term,translation
795,viticulture,bobesa dua
796,volunteer,afifideɛ a efifiri ankasa
797,walking tractor,terekta a wɔnante
798,warm-up ration,ɔhyeɛ aduane
799,water rights,nsu ho hokwan
800,water wheel,nsu afidie
801,waterlogging,nsuo pii gyina
802,water-meadow,ɛserɛ bea a nsu wɔ
803,watermill,nsu yam fie
804,water-wheel irrigation,nsu afidie gugu
805,weaning,nufo gyae
806,weanling,aboa ba a wɔagyae nufo
807,weed,wura
808,weed control,wura si ano
809,weed of cultivation,kuadwuma wura
810,weeder,wura yi mfiri
811,weeding,wura yi
812,wether,odwan a wɔayi ne mma
813,wet-milling,nsu yam
814,wigging,ntakra yi
815,wild hay,ɛserɛ a efifiri ankasa
816,wildcrafting,kwaeɛ mmoa aboa
817,wildling,afifideɛ a efifiri ankasa
818,wilting point,afifideɛ wu bere
819,windbreak,mframa si ano
820,windmill,mframa yam fie
821,windrow,ɛserɛ nkyekyɛmu
822,windrower,ɛserɛ nkyekyɛmu mfiri
823,windsnap,mframa bu
824,windthrow,mframa hwe
825,winnowing,aburoo hu
826,winter range,awɔ mmoa adidibea
827,wool,odwan ho nwi
828,wool alien,odwan ho nwi bɔne
829,woolshed,odwan ho nwi dan
830,worming,nsono yi
831,xeriscaping,nsuo kakra turo
832,yean,aponkye ba wo
833,yeanling,aponkye ba
834,yearling,aboa a wadi afe
835,yield,nnɔbaeɛ
836,yield mapping,nnɔbaeɛ mɛp
